date,state,sentiment
20200722,AL,0.19275
20200723,AL,-0.14962
20200724,AL,0.3799
20200725,AL,0.241633333
20200726,AL,0.2595
20200727,AL,0.8166
20200728,AL,0.2736
20200729,AL,0.37505
20200730,AL,0
20200731,AL,0.46025
20200801,AL,0.8225
20200802,AL,0.4163
20200803,AL,0.493875
20200804,AL,0.31356
20200805,AL,0.442971429
20200806,AL,0.54294
20200807,AL,-0.047633333
20200808,AL,0.286442857
20200809,AL,0.5216
20200810,AL,0.682
20200811,AL,0.65722
20200812,AL,0.47981
20200813,AL,0.4063
20200814,AL,0.828633333
20200815,AL,0.70005
20200816,AL,0.303266667
20200817,AL,0.63845
20200818,AL,0.79545
20200819,AL,0.523242857
20200820,AL,0
20200821,AL,0.5374
20200822,AL,0.69422
20200823,AL,0.52184
20200824,AL,0.9258
20200825,AL,0.82366
20200826,AL,0.8208
20200827,AL,0.54915
20200828,AL,0.538157143
20200829,AL,0
20200830,AL,0.2113
20200831,AL,0.5288
20200901,AL,0.494633333
20200902,AL,0.45405
20200903,AL,0.7334
20200904,AL,0.21675
20200905,AL,0
20200906,AL,0
20200907,AL,0.6389
20200908,AL,0.4133
20200909,AL,0.628716667
20200910,AL,0
20200911,AL,0
20200912,AL,0
20200913,AL,0.44415
20200914,AL,0
20200915,AL,-0.1027
20200916,AL,0.71
20200917,AL,0
20200918,AL,0.31845
20200919,AL,0.13695
20200920,AL,0.35015
20200921,AL,0
20200922,AL,0.8745
20200923,AL,0.9607
20200924,AL,0.6872
20200925,AL,0.5423
20200926,AL,0
20200927,AL,0
20200928,AL,0
20200929,AL,0
20200930,AL,0.41205
20201001,AL,0.7874
20201002,AL,0
20201003,AL,0.34
20201004,AL,-0.9432
20201005,AL,0
20201006,AL,0
20201007,AL,0.9552
20201008,AL,0
20201009,AL,0.84485
20201010,AL,0.6978
20201011,AL,0
20201012,AL,0.424875
20201013,AL,0.915
20201014,AL,0.228466667
20201015,AL,0.24695
20201016,AL,0.2596
20201017,AL,0.268833333
20201018,AL,0.6211
20201019,AL,0.0057
20201020,AL,0
20201021,AL,0.201233333
20201022,AL,0.4942
20201023,AL,0.0898
20201024,AL,0.15855
20201025,AL,0
20201026,AL,0
20201027,AL,0
20201028,AL,0.7742
20201029,AL,0
20201030,AL,0.5106
20201031,AL,0
20201101,AL,0
20201102,AL,-0.20995
20201103,AL,0.36245
20201104,AL,0
20201105,AL,0.7184
20201106,AL,0.2732
20201107,AL,0.6908
20201108,AL,0.3057
20201109,AL,0
20201110,AL,0
20201111,AL,-0.296
20201112,AL,0.6769
20201113,AL,0.296
20201114,AL,0.8612
20201115,AL,0.408266667
20201116,AL,0.76315
20201117,AL,-0.1806
20201118,AL,0
20201119,AL,0
20201120,AL,0.8565
20201121,AL,0.1027
20201122,AL,0
20201123,AL,0
20201124,AL,0
20201125,AL,0
20201126,AL,0.657233333
20201127,AL,0.1027
20201128,AL,0.7412
20201129,AL,0
20201130,AL,0.42965
20201201,AL,0.5361
20201202,AL,0.4199
20201203,AL,0.7955
20201204,AL,-0.6932
20201205,AL,0.9686
20201206,AL,0
20201207,AL,0
20201208,AL,0.3612
20201209,AL,0
20201210,AL,0
20201211,AL,0.04555
20201212,AL,0
20201213,AL,0.3845
20201214,AL,0
20201215,AL,-0.6298
20201216,AL,0.6369
20201217,AL,0
20201218,AL,0.7955
20201219,AL,0.5399
20201220,AL,0.4767
20201221,AL,0.1531
20201222,AL,0.4402
20201223,AL,0.8684
20201224,AL,0
20201225,AL,0.5132
20201226,AL,0.8271
20201227,AL,0.2553
20201228,AL,0
20201229,AL,0
20201230,AL,0
20210101,AL,0.47945
20210102,AL,0
20210103,AL,-0.1888
20210104,AL,0.4096
20210105,AL,0
20210106,AL,-0.0772
20210107,AL,0.3612
20210108,AL,0
20210109,AL,0
20210110,AL,0.54935
20210111,AL,0
20210112,AL,0
20210113,AL,0
20210114,AL,0
20210115,AL,0.1806
20210116,AL,0.3382
20210117,AL,0.2287
20210118,AL,0.8388
20210119,AL,-0.7351
20210120,AL,0
20210121,AL,0
20210122,AL,0.97
20210123,AL,0.4019
20210124,AL,0.6486
20210125,AL,0.46365
20210126,AL,0.4898
